Variogram Index,Lag Distance,Number of Pairs,Variogram Value,Variogram Number,Calculation Azimuth,Calculation Dip,Variogram Type,Variogram Tail Index,Variogram Head Index
2.00000,12.06603,94542.00000,0.57816,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,13.03325,93472.00000,0.61651,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,14.05207,108758.00000,0.65218,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,15.01827,107500.00000,0.68580,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,16.05498,122370.00000,0.71839,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,17.15679,120416.00000,0.75024,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,18.12652,118972.00000,0.78065,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,19.09933,117528.00000,0.81492,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,20.03141,131172.00000,0.84923,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,21.00224,129544.00000,0.88858,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,22.01755,157012.00000,0.92626,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,23.03707,140482.00000,0.97236,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,24.02406,152712.00000,1.01084,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,25.03655,164972.00000,1.05353,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,26.08672,162070.00000,1.08873,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,27.05522,159902.00000,1.12263,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,28.05967,171020.00000,1.15319,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,29.04502,168408.00000,1.17741,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,30.04658,178736.00000,1.19833,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,31.04417,176072.00000,1.21804,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,32.01344,173554.00000,1.23411,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,32.98451,171036.00000,1.24625,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,33.99366,192446.00000,1.25627,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,35.02497,189174.00000,1.26533,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,36.07067,198074.00000,1.27259,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,37.07758,182994.00000,1.27525,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,38.07402,191054.00000,1.27638,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,39.04353,188026.00000,1.27298,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,40.04080,195662.00000,1.26922,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
